Sample,Index,File,Origin,URL,Notes
arpy,0,arpy03.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
arpy,1,arpy05.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
arpy,2,arpy08.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
bass,0,000_bass1.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
bass,1,001_bass2.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
bass3,0,83245__zgump__bass-0201.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
bass3,1,83246__zgump__bass-0202.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
hand,0,hand1-mono.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
jvbass,0,000_01.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
jvbass,1,001_02.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
jvbass,2,002_03.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
peri,0,bd.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
psr,0,008_09.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
psr,1,014_15.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
rm,0,RIM0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
rm,1,RIMA.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
tacscan,0,013_pexpl.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
tok,0,000_0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
tok,1,001_1.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
tok,2,002_2.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
tok,3,003_3.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
trump,0,tightstabb.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
trump,1,tightstabblowoct.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
trump,2,tightstabe.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
trump,3,tightstabg.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
uxay,0,000_bar.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
uxay,1,001_erk.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
uxay,2,002_foo.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
warbler,0,warbler.001.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,1,warbler.002.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,2,warbler.003.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,3,warbler.004.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,4,warbler.005.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,5,warbler.006.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
warbler,6,warbler.007.wav,Freesound.org,http://www.freesound.org/people/evernaut/sounds/37286/,evernaut: Birdsong in Tuscany
wobble,0,000_0.wav,Dirt,https://github.com/tidalcycles/Dirt-Samples,
